Slow_Wave_Name,Start,End,Protocol Number,Classification,NegPeak,PosPeak,Channel,ValNegPeak
proto7_late-stim_sw11,5493.44,5495.44,7.0,late-stim,5493.93,5495.1,E25,-54.271954163187615
proto7_post-stim_sw1,5568.6,5570.08,7.0,post-stim,5568.93,5569.8,E3,-57.83603613118615
proto7_post-stim_sw10,5612.42,5614.57,7.0,post-stim,5612.68,5614.26,E12,-50.323239766222834
proto8_pre-stim_sw1,6004.71,6005.76,8.0,pre-stim,6005.01,6005.51,E1,-68.20321547417463
proto8_pre-stim_sw13,6015.75,6017.57,8.0,pre-stim,6016.19,6017.28,E18,-51.37357978114304
proto8_pre-stim_sw14,6020.07,6022.09,8.0,pre-stim,6020.35,6021.77,E18,-55.47252043396324
proto8_pre-stim_sw2,6064.83,6067.08,8.0,pre-stim,6065.78,6066.68,E2,-43.478325508924
proto8_early-stim_sw1,6158.09,6159.92,8.0,early-stim,6158.85,6159.42,E1,-79.06751358415531
proto8_early-stim_sw10,6168.42,6170.75,8.0,early-stim,6169.49,6170.14,E12,-48.32360950308595
proto8_late-stim_sw1,6207.54,6208.88,8.0,late-stim,6207.78,6208.27,E1,-42.21354437849156
proto8_late-stim_sw10,6209.71,6212.18,8.0,late-stim,6210.94,6211.54,E25,-98.10078028202145
proto8_late-stim_sw11,6214.37,6215.73,8.0,late-stim,6214.72,6215.36,E25,-70.90557094144961
proto8_post-stim_sw1,6286.57,6288.34,8.0,post-stim,6287.21,6287.91,E1,-45.44963159351302
proto8_post-stim_sw10,6411.32,6412.26,8.0,post-stim,6411.61,6412.06,E31,-84.94792035303655
proto8_post-stim_sw11,6427.57,6429.19,8.0,post-stim,6428.33,6428.87,E31,-41.16224752412681
proto8_post-stim_sw12,6447.87,6450.02,8.0,post-stim,6448.29,6449.5,E32,-53.224033235619274
proto9_pre-stim_sw1,7059.11,7060.99,9.0,pre-stim,7059.47,7060.56,E3,-51.66676723480798
proto9_pre-stim_sw2,7128.11,7129.8,9.0,pre-stim,7128.61,7129.36,E10,-54.298757934793734
proto9_pre-stim_sw9,7174.81,7177.09,9.0,pre-stim,7175.81,7176.52,E226,-49.42752539342493
proto9_early-stim_sw1,7270.71,7272.77,9.0,early-stim,7271.16,7272.08,E1,-105.18175904611002
proto9_late-stim_sw1,7342.64,7344.66,9.0,late-stim,7343.44,7343.98,E1,-69.97407097453794
proto9_late-stim_sw4,7386.57,7388.39,9.0,late-stim,7386.96,7387.8,E10,-118.2907033052661
proto10_pre-stim_sw1,7889.38,7891.22,10.0,pre-stim,7889.83,7890.82,E1,-69.77397104291174
proto10_pre-stim_sw4,7941.63,7943.91,10.0,pre-stim,7942.71,7943.47,E10,-46.925965216189695
proto10_late-stim_sw1,8057.29,8059.01,10.0,late-stim,8057.76,8058.37,E3,-40.61155454342366
proto10_post-stim_sw1,8171.7,8173.77,10.0,post-stim,8172.58,8173.44,E35,-40.79313728760657
proto10_post-stim_sw4,8182.71,8184.54,10.0,post-stim,8183.01,8184.02,E37,-61.77932927632256
proto11_pre-stim_sw1,8343.19,8344.75,11.0,pre-stim,8343.55,8344.45,E2,-50.25135684693396
proto11_pre-stim_sw10,8419.79,8421.68,11.0,pre-stim,8420.12,8421.35,E38,-75.86305734324861
proto11_early-stim_sw1,8464.54,8466.03,11.0,early-stim,8464.89,8465.81,E1,-83.89436224343332
proto11_early-stim_sw12,8466.9,8468.63,11.0,early-stim,8467.19,8468.26,E67,-50.38427290998571
proto11_early-stim_sw4,8475.78,8477.43,11.0,early-stim,8476.17,8476.75,E10,-75.92191289751547
proto11_late-stim_sw1,8563.32,8565.14,11.0,late-stim,8564.17,8564.75,E18,-64.17038962745204
proto11_post-stim_sw1,8637.16,8637.97,11.0,post-stim,8637.38,8637.8,E10,-54.27976864151235
proto12_pre-stim_sw1,9074.78,9076.59,12.0,pre-stim,9075.53,9076.12,E10,-41.04637278541719
proto12_early-stim_sw1,9179.62,9181.05,12.0,early-stim,9179.88,9180.34,E6,-42.61110833299418
proto12_late-stim_sw1,9280.94,9282.46,12.0,late-stim,9281.27,9282.03,E84,-53.641779780275655
proto12_post-stim_sw1,9425.19,9427.1,12.0,post-stim,9425.47,9426.81,E3,-40.88870472433173
proto12_post-stim_sw16,9460.94,9462.54,12.0,post-stim,9461.27,9461.78,E84,-55.04961711575706
proto12_post-stim_sw85,9483.42,9485.07,12.0,post-stim,9483.73,9484.56,E167,-49.153125356077766
proto13_pre-stim_sw1,10134.27,10135.96,13.0,pre-stim,10134.71,10135.56,E1,-58.69147347089874
proto13_pre-stim_sw101,10136.76,10137.77,13.0,pre-stim,10137.0,10137.48,E33,-48.437614532631144
proto13_pre-stim_sw102,10138.78,10139.75,13.0,pre-stim,10138.99,10139.45,E33,-58.97376772768669
proto13_pre-stim_sw104,10214.84,10215.94,13.0,pre-stim,10215.17,10215.64,E33,-41.0611146361371
proto13_pre-stim_sw105,10238.6,10239.84,13.0,pre-stim,10238.89,10239.42,E33,-45.871734024382135
proto13_pre-stim_sw141,10258.94,10260.45,13.0,pre-stim,10259.44,10260.07,E46,-40.515854320520816
proto13_pre-stim_sw42,10276.94,10278.06,13.0,pre-stim,10277.26,10277.78,E18,-44.40351805342114
proto13_early-stim_sw1,10327.49,10328.73,13.0,early-stim,10327.83,10328.44,E1,-61.700156194477735
proto13_early-stim_sw10,10345.74,10347.36,13.0,early-stim,10346.18,10346.77,E3,-90.91926886828755
proto13_early-stim_sw21,10394.44,10396.22,13.0,early-stim,10394.71,10395.77,E10,-43.55912844600547
proto13_late-stim_sw1,10399.49,10401.16,13.0,late-stim,10399.75,10400.84,E4,-44.121860683126584
proto13_late-stim_sw11,10412.36,10413.54,13.0,late-stim,10412.6,10413.12,E18,-55.14014554043861
proto13_late-stim_sw12,10434.7,10436.45,13.0,late-stim,10435.05,10436.1,E18,-48.59027989663588
proto13_late-stim_sw25,10468.05,10469.44,13.0,late-stim,10468.44,10469.08,E26,-40.906846274884046
proto13_late-stim_sw46,10481.8,10483.2,13.0,late-stim,10482.15,10482.81,E32,-40.68218793339013
proto13_post-stim_sw1,10577.82,10579.44,13.0,post-stim,10578.08,10579.12,E1,-44.55831728733094
proto13_post-stim_sw10,10652.6,10653.91,13.0,post-stim,10653.01,10653.56,E4,-43.08716182856946
proto13_post-stim_sw100,10679.97,10681.3,13.0,post-stim,10680.38,10680.92,E32,-40.32111978772893
proto13_post-stim_sw170,10701.55,10703.38,13.0,post-stim,10701.93,10703.01,E101,-41.01813937172361
