Slow_Wave_Name,Start,End,Protocol Number,Classification,NegPeak,PosPeak,Channel,ValNegPeak
proto1_late-stim_sw8,473.78,474.64,1.0,late-stim,473.98,474.37,E18,-41.66934235978364
proto1_late-stim_sw9,459.84,461.95,1.0,late-stim,460.54,461.59,E19,-45.10041964985389
proto1_post-stim_sw1,545.35,546.51,1.0,post-stim,545.66,546.19,E1,-40.93792670811361
proto1_post-stim_sw10,672.11,673.47,1.0,post-stim,672.47,673.09,E4,-40.3054288648721
proto1_post-stim_sw100,516.29,517.79,1.0,post-stim,516.58,517.07,E105,-49.034757920941246
proto1_post-stim_sw101,639.66,640.57,1.0,post-stim,639.92,640.34,E105,-50.076157750643134
proto1_post-stim_sw102,516.28,517.8,1.0,post-stim,516.58,517.07,E106,-48.63404695317444
proto1_post-stim_sw103,639.66,640.57,1.0,post-stim,639.92,640.34,E106,-50.754548912617764
proto1_post-stim_sw104,545.84,547.31,1.0,post-stim,546.15,546.79,E109,-59.979199188725126
proto1_post-stim_sw105,636.26,637.28,1.0,post-stim,636.54,636.99,E109,-49.036328630567034
proto1_post-stim_sw106,545.82,547.22,1.0,post-stim,546.15,546.79,E110,-58.01757156089076
proto1_post-stim_sw107,636.23,637.28,1.0,post-stim,636.52,636.98,E110,-44.25609886134507
proto1_post-stim_sw108,516.28,517.76,1.0,post-stim,516.58,517.1,E113,-52.26993133480221
proto1_post-stim_sw109,516.28,517.77,1.0,post-stim,516.58,517.1,E114,-52.394894823011605
proto1_post-stim_sw11,604.2,605.97,1.0,post-stim,604.95,605.46,E5,-55.16152689591807
proto1_post-stim_sw110,516.28,517.8,1.0,post-stim,516.58,517.12,E115,-51.316884492626656
proto1_post-stim_sw111,639.66,640.61,1.0,post-stim,639.92,640.34,E115,-40.521315564953326
proto1_post-stim_sw112,545.8,547.24,1.0,post-stim,546.13,546.79,E117,-53.360501593411996
proto1_post-stim_sw113,636.23,637.34,1.0,post-stim,636.54,637.01,E117,-49.731292076868804
proto1_post-stim_sw114,545.8,547.24,1.0,post-stim,546.13,546.79,E118,-53.783247568995534
proto1_post-stim_sw115,636.23,637.34,1.0,post-stim,636.54,637.0,E118,-49.24102541720145
proto1_post-stim_sw116,516.27,518.12,1.0,post-stim,516.68,517.5,E119,-40.75529433202428
proto1_post-stim_sw117,545.79,547.19,1.0,post-stim,546.13,546.79,E119,-52.05297036154022
proto1_post-stim_sw118,636.22,637.32,1.0,post-stim,636.53,637.0,E119,-46.87910014623294
proto1_post-stim_sw119,516.26,517.74,1.0,post-stim,516.57,517.11,E121,-52.92218493835719
proto1_post-stim_sw12,630.13,631.51,1.0,post-stim,630.46,631.08,E5,-45.824725939284704
proto1_post-stim_sw120,516.26,517.75,1.0,post-stim,516.57,517.11,E122,-52.84205263867152
proto1_post-stim_sw121,516.28,517.81,1.0,post-stim,516.58,517.13,E123,-51.30754186941558
proto1_post-stim_sw122,639.65,640.63,1.0,post-stim,639.91,640.34,E123,-40.24075338745571
proto1_post-stim_sw123,516.28,517.82,1.0,post-stim,516.58,517.13,E124,-50.45198650651221
proto1_post-stim_sw124,516.25,517.89,1.0,post-stim,516.6,517.42,E125,-47.81632477423538
proto1_post-stim_sw125,545.81,547.3,1.0,post-stim,546.12,546.84,E125,-42.180875798350904
proto1_post-stim_sw126,545.8,547.26,1.0,post-stim,546.12,546.81,E126,-47.52156751360484
proto1_post-stim_sw127,636.21,637.45,1.0,post-stim,636.54,637.02,E126,-47.30843428738124
proto1_post-stim_sw128,545.77,547.26,1.0,post-stim,546.11,546.82,E127,-44.335607132566054
proto1_post-stim_sw129,636.22,637.4,1.0,post-stim,636.54,637.02,E127,-45.31500615156056
proto1_post-stim_sw13,604.2,605.97,1.0,post-stim,604.95,605.49,E6,-43.352018260623595
proto1_post-stim_sw130,545.76,547.15,1.0,post-stim,546.13,546.8,E128,-45.464846695363065
proto1_post-stim_sw131,636.19,637.29,1.0,post-stim,636.51,636.99,E128,-40.75142339404622
proto1_post-stim_sw132,516.6,518.39,1.0,post-stim,516.94,518.05,E132,-47.24891272320363
proto1_post-stim_sw133,516.26,517.74,1.0,post-stim,516.57,517.1,E134,-53.297909807658264
proto1_post-stim_sw134,516.27,517.77,1.0,post-stim,516.58,517.13,E136,-53.17431433518864
proto1_post-stim_sw135,516.26,517.81,1.0,post-stim,516.58,517.18,E137,-50.93138887575937
proto1_post-stim_sw136,636.23,637.49,1.0,post-stim,636.54,637.03,E138,-45.41161948836546
proto1_post-stim_sw137,545.78,547.29,1.0,post-stim,546.11,546.84,E139,-41.79309222054496
proto1_post-stim_sw138,636.23,637.46,1.0,post-stim,636.54,637.03,E139,-45.408994172271676
proto1_post-stim_sw139,516.25,518.08,1.0,post-stim,516.65,517.54,E140,-40.09105607437162
proto1_post-stim_sw14,516.64,518.45,1.0,post-stim,516.93,518.14,E8,-42.450718336108665
proto1_post-stim_sw140,605.18,607.35,1.0,post-stim,605.45,607.03,E140,-52.77863138413967
proto1_post-stim_sw141,619.22,620.91,1.0,post-stim,619.59,620.46,E140,-43.32476163144036
proto1_post-stim_sw142,516.29,517.76,1.0,post-stim,516.58,517.12,E146,-52.82120614166434
proto1_post-stim_sw143,516.26,517.82,1.0,post-stim,516.58,517.19,E148,-50.91441449358081
proto1_post-stim_sw144,516.26,517.82,1.0,post-stim,516.57,517.2,E149,-50.49431454462825
proto1_post-stim_sw145,516.26,517.7,1.0,post-stim,516.57,517.13,E157,-48.50907155363706
proto1_post-stim_sw146,516.26,517.75,1.0,post-stim,516.57,517.12,E158,-48.85621042595115
proto1_post-stim_sw147,516.26,517.72,1.0,post-stim,516.56,517.12,E166,-49.25181548268182
proto1_post-stim_sw148,516.25,517.7,1.0,post-stim,516.56,517.13,E167,-47.20232078874908
proto1_post-stim_sw149,516.25,517.7,1.0,post-stim,516.56,517.13,E168,-46.94503377427925
proto1_post-stim_sw15,545.35,546.51,1.0,post-stim,545.66,546.2,E10,-44.482161372294605
proto1_post-stim_sw150,516.61,518.42,1.0,post-stim,516.91,518.09,E186,-45.3077192796613
proto1_post-stim_sw151,572.21,573.61,1.0,post-stim,572.53,573.09,E192,-43.70500872608385
proto1_post-stim_sw152,572.21,573.55,1.0,post-stim,572.55,573.11,E193,-41.655267639704434
proto1_post-stim_sw153,516.63,518.45,1.0,post-stim,516.92,518.12,E198,-43.35934663558701
proto1_post-stim_sw154,572.2,573.56,1.0,post-stim,572.57,573.13,E202,-43.102587398585996
proto1_post-stim_sw155,572.21,573.56,1.0,post-stim,572.57,573.15,E203,-41.756834043819666
proto1_post-stim_sw156,572.19,573.57,1.0,post-stim,572.57,573.16,E212,-41.692914987549564
