Slow_Wave_Name,Start,End,Protocol Number,Classification,NegPeak,PosPeak,Channel,ValNegPeak
proto13_pre-stim_sw191,10134.98,10136.62,13.0,pre-stim,10135.37,10135.96,E96,-86.33950401409594
proto13_pre-stim_sw91,10134.1,10135.6,13.0,pre-stim,10134.5,10135.26,E32,-105.07558046155364
proto13_early-stim_sw1,10327.49,10328.73,13.0,early-stim,10327.83,10328.44,E1,-61.700156194477735
proto13_early-stim_sw19,10345.68,10347.27,13.0,early-stim,10346.17,10346.79,E10,-97.19288034036293
proto13_early-stim_sw36,10345.83,10347.33,13.0,early-stim,10346.26,10346.84,E18,-113.51486612756112
proto13_late-stim_sw1,10399.49,10401.16,13.0,late-stim,10399.75,10400.84,E4,-44.121860683126584
proto13_late-stim_sw11,10412.36,10413.54,13.0,late-stim,10412.6,10413.12,E18,-55.14014554043861
proto13_late-stim_sw21,10412.34,10413.47,13.0,late-stim,10412.58,10413.11,E25,-59.73752149095037
proto13_late-stim_sw34,10412.35,10413.46,13.0,late-stim,10412.59,10413.11,E31,-57.15359134704184
proto13_late-stim_sw59,10444.63,10445.82,13.0,late-stim,10444.98,10445.48,E37,-56.61871521669634
proto13_post-stim_sw1,10577.82,10579.44,13.0,post-stim,10578.08,10579.12,E1,-44.55831728733094
proto13_post-stim_sw10,10652.6,10653.91,13.0,post-stim,10653.01,10653.56,E4,-43.08716182856946
proto13_post-stim_sw120,10642.63,10644.2,13.0,post-stim,10643.14,10643.74,E37,-78.4492181071191
proto13_post-stim_sw95,10642.67,10644.42,13.0,post-stim,10643.16,10643.74,E32,-80.54101151681522
